   T (K)                B (cm^3/mol)
202.3339164613426    -961.2499118
204.2351591794971    -918.9450387
208.7839562823582    -855.8558333
211.37416484227737    -820.1432565
213.39771627896948    -787.0526156
215.9876913034243    -751.9729199
217.88219771493874    -727.9234378
220.59741447272262    -694.1095043
223.50059391712773    -661.9229793
225.77202656816058    -638.4159667
230.06240667101622    -594.2951123
232.5847231352176    -572.2346851
241.72570155778072    -498.8204765
245.3804314887879    -473.9572901
249.4755008784465    -448.1221792
254.43581916365372    -419.5747206
259.0488952349765    -395.2087979
277.8839975086047    -316.4422234
285.60457006215086    -290.8419166
290.26823305503217    -277.1764712
309.9309107077043    -228.8843549
317.1145942828104    -214.182198
322.728117934346    -203.9702092
339.96039291903554    -176.4127575
348.0099600298972    -165.0208976
374.2310550734398    -135.7275434
403.3056198696827    -111.6263975
409.88011026306634    -106.9766588
435.6678120115591    -90.80120396
474.00441152290387    -72.25860941
483.62233608816075    -69.00379228
493.6173870661913    -65.74897515
503.0467484250615    -62.49415802
539.2548875164272    -51.64476759
564.1476328385445    -45.13513333
579.0453271826314    -41.8803162
591.3031143958304    -38.68577346
618.8349661558148    -34.2857429
622.9833566963239    -34.2857429
637.5039246276372    -31.03092577
659.8363968235456    -27.77610864
679.1787953181779    -24.52129151
686.3441971608756    -24.52129151
    
