3b Energies: 
0.00894291486 kJ/mol 
0.009376092495 kJ/mol 
-0.00189234606 kJ/mol 
0.010432014945 kJ/mol 
-0.00078653751 kJ/mol 
0.000747460065 kJ/mol 
-0.011652561525 kJ/mol 
-0.002895888105 kJ/mol 
-0.035380053555 kJ/mol 
0.00797512452 kJ/mol 
0.01404958863 kJ/mol 
-0.000903769845 kJ/mol 
0.07026457185 kJ/mol 
0.00124216389 kJ/mol 
-0.00432512487 kJ/mol 
0.241567619205 kJ/mol 
0.053204357085 kJ/mol 
0.113147494845 kJ/mol 
0.00174933924 kJ/mol 
0.00390441876 kJ/mol 
-0.01896004374 kJ/mol 
0.031442377395 kJ/mol 
-0.008092356855 kJ/mol 
-0.00077656029 kJ/mol 
0.13801654713 kJ/mol 
0.007142858085 kJ/mol 
-0.02157407538 kJ/mol 
0.007558575585 kJ/mol 
0.002475181995 kJ/mol 
-0.00324924798 kJ/mol 
0.00364334817 kJ/mol 
-0.003316594215 kJ/mol 
0.003180238875 kJ/mol 
0.003319919955 kJ/mol 
-0.001841628525 kJ/mol 
0.059007773385 kJ/mol 
-0.008045796495 kJ/mol 
-0.0012804099 kJ/mol 
-0.000459783555 kJ/mol 
0.032448413745 kJ/mol 
-0.001259624025 kJ/mol 
0.07614780591 kJ/mol 
0.05640122466 kJ/mol 
0.006500990265 kJ/mol 
0.00521808606 kJ/mol 
-1.7460135e-05 kJ/mol 
-0.009166570875 kJ/mol 
0.03021933651 kJ/mol 
0.002776161465 kJ/mol 
-0.025254838125 kJ/mol 
0.001161514695 kJ/mol 
-0.005295409515 kJ/mol 
-0.007975955955 kJ/mol 
-0.024405111555 kJ/mol 
-0.00334902018 kJ/mol 
0.018704793195 kJ/mol 
0.000770740245 kJ/mol 
-0.001806708255 kJ/mol 
0.004731696585 kJ/mol 
0.02088897294 kJ/mol 
0.03099423393 kJ/mol 
-0.00357018189 kJ/mol 
-0.010498529745 kJ/mol 
0.01896004374 kJ/mol 
0.00569865549 kJ/mol 
0.00192227772 kJ/mol 
-0.09078272478 kJ/mol 
-0.008428256595 kJ/mol 
-0.03371468925 kJ/mol 
0.0013469247 kJ/mol 
0.00199045539 kJ/mol 
0.032084245215 kJ/mol 
0.005887391235 kJ/mol 
-0.015423950685 kJ/mol 
0.02500291332 kJ/mol 
0.008720921715 kJ/mol 
-0.04711409571 kJ/mol 
-0.03706869804 kJ/mol 
-8.16787942179 kJ/mol 
-0.06715500495 kJ/mol 
0.287346430305 kJ/mol 
-0.12267324564 kJ/mol 
-0.003719008755 kJ/mol 
-0.012969554565 kJ/mol 
0.023776546695 kJ/mol 
0.46371624255 kJ/mol 
0.014339759445 kJ/mol 
-0.048696316515 kJ/mol 
-0.003226799235 kJ/mol 
0.28387685205 kJ/mol 
-0.006376275015 kJ/mol 
0.00924389433 kJ/mol 
-0.02327851713 kJ/mol 
0.006035386665 kJ/mol 
-0.00042236898 kJ/mol 
-0.02339824377 kJ/mol 
-0.01322147937 kJ/mol 
-0.00255416832 kJ/mol 
-0.035218755165 kJ/mol 
-0.01348254996 kJ/mol 
7.2334845e-05 kJ/mol 
0.077219525625 kJ/mol 
0.010876001235 kJ/mol 
-6.152619e-05 kJ/mol 
0.001695295965 kJ/mol 
0.030235133775 kJ/mol 
0.00890633172 kJ/mol 
-0.00144835977 kJ/mol 
0.03911901675 kJ/mol 
-0.01979813022 kJ/mol 
0.15694499634 kJ/mol 
-0.065494629255 kJ/mol 
0.04966161255 kJ/mol 
0.004764953985 kJ/mol 
0.069879617445 kJ/mol 
0.10058201769 kJ/mol 
0.025068596685 kJ/mol 
0.016198848105 kJ/mol 
0.0052712979 kJ/mol 
0.00746462343 kJ/mol 
0.00057867876 kJ/mol 
0.001811696865 kJ/mol 
-0.0039243732 kJ/mol 
0.0500856444 kJ/mol 
0.000260239155 kJ/mol 
-0.00479239134 kJ/mol 
0.31889356851 kJ/mol 
0.007432197465 kJ/mol 
0.01538487324 kJ/mol 
0.07663003821 kJ/mol 
-0.150091477635 kJ/mol 
0.013268871165 kJ/mol 
0.130236809835 kJ/mol 
0.007382311365 kJ/mol 
0.012252857595 kJ/mol 
-0.01064569374 kJ/mol 
-0.09792142569 kJ/mol 
0.00583501083 kJ/mol 
0.124275420885 kJ/mol 
-0.00172772193 kJ/mol 
0.00290669676 kJ/mol 
0.00906097863 kJ/mol 
-0.000231970365 kJ/mol 
-0.00190398615 kJ/mol 
0.001390990755 kJ/mol 
-0.000564544365 kJ/mol 
-0.000105592245 kJ/mol 
0.001208075055 kJ/mol 
0.16370456289 kJ/mol 
-0.007625090385 kJ/mol 
0.09240901164 kJ/mol 
0.000922061415 kJ/mol 
0.009568985415 kJ/mol 
0.003265045245 kJ/mol 
-0.010101103815 kJ/mol 
-0.099142803705 kJ/mol 
0.109915707 kJ/mol 
-0.07071520962 kJ/mol 
-0.08159869377 kJ/mol 
0.00112243725 kJ/mol 
-0.0202204992 kJ/mol 
-0.01281075048 kJ/mol 
0.020972947875 kJ/mol 
0.009319554915 kJ/mol 
-0.093791688045 kJ/mol 
0.18400487985 kJ/mol 
-0.00806159376 kJ/mol 
0.027945361785 kJ/mol 
0.166216328025 kJ/mol 
-0.00818298327 kJ/mol 
0.000368325705 kJ/mol 
0.012444087645 kJ/mol 
-0.005892379845 kJ/mol 
-0.011270101425 kJ/mol 
0.00534280131 kJ/mol 
-6.984054e-05 kJ/mol 
-0.00049719813 kJ/mol 
-0.004572061065 kJ/mol 
-0.00112243725 kJ/mol 
-0.01089512424 kJ/mol 
-0.000484726605 kJ/mol 
-0.000454794945 kJ/mol 
0.00807988533 kJ/mol 
0.0254751684 kJ/mol 
-0.006269851335 kJ/mol 
0.00240284715 kJ/mol 
-0.00489881502 kJ/mol 
-0.00355022745 kJ/mol 
-0.00178924812 kJ/mol 
-0.0029599086 kJ/mol 
-0.00135523905 kJ/mol 
-0.0078321177 kJ/mol 
0.001479122865 kJ/mol 
-0.000917072805 kJ/mol 
0.009856661925 kJ/mol 
-0.002112676335 kJ/mol 
-0.001238006715 kJ/mol 
0.003103746855 kJ/mol 
-0.002217437145 kJ/mol 
0.005353609965 kJ/mol 
0.011027322405 kJ/mol 
-0.011998438485 kJ/mol 
-0.000624407685 kJ/mol 
-0.00397924791 kJ/mol 
0.00476911116 kJ/mol 
0.001773450855 kJ/mol 
0.01642582986 kJ/mol 
0.00191396337 kJ/mol 
-0.001184794875 kJ/mol 
-0.007026457185 kJ/mol 
0.013361991885 kJ/mol 
0.00016462413 kJ/mol 
0.00659993103 kJ/mol 
-0.041354745465 kJ/mol 
0.00153981762 kJ/mol 
0.000409897455 kJ/mol 
-0.02693017965 kJ/mol 
-0.004851423225 kJ/mol 
-0.06098908299 kJ/mol 
-0.008059099455 kJ/mol 
0.00075494298 kJ/mol 
0.031028322765 kJ/mol 
-0.00583501083 kJ/mol 
0.001251309675 kJ/mol 
-0.009060147195 kJ/mol 
0.003058849365 kJ/mol 
0.018081216945 kJ/mol 
0.015455545215 kJ/mol 
0.008310192825 kJ/mol 
0.137884348965 kJ/mol 
0.01437218541 kJ/mol 
0.0119061492 kJ/mol 
0.049248389355 kJ/mol 
0.023013289365 kJ/mol 
0.015946091865 kJ/mol 
0.038837160285 kJ/mol 
0.01910471343 kJ/mol 
-0.01098159348 kJ/mol 
-0.006278165685 kJ/mol 
0.12031197024 kJ/mol 
0.14435041896 kJ/mol 
-0.00329414547 kJ/mol 
0.02529391557 kJ/mol 
-0.02857475808 kJ/mol 
-0.01357068207 kJ/mol 
0.00267056922 kJ/mol 
0.003496184175 kJ/mol 
-0.001582220805 kJ/mol 
0.03508988274 kJ/mol 
0.048954061365 kJ/mol 
0.02363603418 kJ/mol 
-0.000182084265 kJ/mol 
-0.001703610315 kJ/mol 
-0.00350532996 kJ/mol 
-0.002897550975 kJ/mol 
0.001768462245 kJ/mol 
-0.02745232083 kJ/mol 
-0.003339874395 kJ/mol 
0.00025275624 kJ/mol 
-0.000634384905 kJ/mol 
0.00220163988 kJ/mol 
-0.000463109295 kJ/mol 
-0.005127459645 kJ/mol 
-0.040782718185 kJ/mol 
-0.00090127554 kJ/mol 
-0.006976571085 kJ/mol 
0.017231490375 kJ/mol 
-0.03737134038 kJ/mol 
0.01236842706 kJ/mol 
0.012648620655 kJ/mol 
-0.00688760754 kJ/mol 
-0.001266275505 kJ/mol 
0.00719357562 kJ/mol 
-0.014775431385 kJ/mol 
-0.00132863313 kJ/mol 
-0.05128956228 kJ/mol 
0.03555881208 kJ/mol 
0.097902302685 kJ/mol 
-0.06983056278 kJ/mol 
0.000336731175 kJ/mol 
-0.015337481445 kJ/mol 
-0.011740693635 kJ/mol 
0.035622832575 kJ/mol 
-0.01247817648 kJ/mol 
-0.00229309773 kJ/mol 
-0.0790860972 kJ/mol 
-0.000780717465 kJ/mol 
0.012590420205 kJ/mol 
0.010578347505 kJ/mol 
0.003318257085 kJ/mol 
0.00721851867 kJ/mol 
-0.002578279935 kJ/mol 
-0.000166287 kJ/mol 
-0.00119394066 kJ/mol 
-0.007139532345 kJ/mol 
-0.005370238665 kJ/mol 
0.016795818435 kJ/mol 
-0.01174651368 kJ/mol 
0.003284999685 kJ/mol 
-0.023899599075 kJ/mol 
0.000679282395 kJ/mol 
-0.05181835494 kJ/mol 
0.003329897175 kJ/mol 
-0.00032259678 kJ/mol 
