CCSD(T) 3b energies
dV_123 = 19.43 kelvin
dV_123 = 4.0545 kelvin
dV_123 = 0.7643 kelvin
dV_123 = 0.1089 kelvin
dV_123 = -0.0213 kelvin
dV_123 = -0.0388 kelvin
dV_123 = -0.0328 kelvin
dV_123 = -0.0169 kelvin
dV_123 = -203.2871 kelvin
dV_123 = -11.3627 kelvin
dV_123 = -0.9213 kelvin
dV_123 = -0.7503 kelvin
dV_123 = -0.6332 kelvin
dV_123 = -0.4394 kelvin
dV_123 = -0.2829 kelvin
dV_123 = -0.1785 kelvin
dV_123 = -0.0728 kelvin
dV_123 = -6054.8392 kelvin
dV_123 = -641.2627 kelvin
dV_123 = -59.748 kelvin
dV_123 = -8.4671 kelvin
dV_123 = -3.1585 kelvin
dV_123 = -1.7553 kelvin
dV_123 = -1.0219 kelvin
dV_123 = -0.6001 kelvin
dV_123 = -0.2185 kelvin
dV_123 = -58.2688 kelvin
dV_123 = -1.1061 kelvin
dV_123 = 0.2963 kelvin
dV_123 = 0.0068 kelvin
dV_123 = -0.0281 kelvin
dV_123 = -0.0186 kelvin
dV_123 = -0.0108 kelvin
dV_123 = -0.0063 kelvin
dV_123 = -0.0025 kelvin
dV_123 = -1290.8763 kelvin
dV_123 = 74.103 kelvin
dV_123 = 36.4849 kelvin
dV_123 = 9.3889 kelvin
dV_123 = 2.5616 kelvin
dV_123 = 0.8129 kelvin
dV_123 = 0.2946 kelvin
dV_123 = 0.1181 kelvin
dV_123 = 0.0513 kelvin
dV_123 = 0.011 kelvin
dV_123 = -152.0739 kelvin
dV_123 = -19.3617 kelvin
dV_123 = -8.7307 kelvin
dV_123 = -4.1406 kelvin
dV_123 = -1.8136 kelvin
dV_123 = -0.8022 kelvin
dV_123 = -0.3754 kelvin
dV_123 = -0.1878 kelvin
dV_123 = -0.1003 kelvin
dV_123 = -0.0327 kelvin
dV_123 = -4661.8368 kelvin
dV_123 = -382.343 kelvin
dV_123 = 25.9613 kelvin
dV_123 = 21.7247 kelvin
dV_123 = 8.1658 kelvin
dV_123 = 3.127 kelvin
dV_123 = 1.3486 kelvin
dV_123 = 0.6413 kelvin
dV_123 = 0.3267 kelvin
dV_123 = 0.1756 kelvin
dV_123 = 0.0582 kelvin
dV_123 = -293.1527 kelvin
dV_123 = 11.6493 kelvin
dV_123 = 11.8849 kelvin
dV_123 = 4.7397 kelvin
dV_123 = 1.8908 kelvin
dV_123 = 0.8282 kelvin
dV_123 = 0.3957 kelvin
dV_123 = 0.2032 kelvin
dV_123 = 0.0622 kelvin
dV_123 = 229.8355 kelvin
dV_123 = 112.3432 kelvin
dV_123 = 30.7617 kelvin
dV_123 = 8.6756 kelvin
dV_123 = 3.1464 kelvin
dV_123 = 1.4486 kelvin
dV_123 = 0.7539 kelvin
dV_123 = 0.4149 kelvin
dV_123 = 0.2366 kelvin
dV_123 = 0.0835 kelvin
dV_123 = -6.7896 kelvin
dV_123 = 22.978 kelvin
dV_123 = 8.9472 kelvin
dV_123 = 3.3131 kelvin
dV_123 = 1.4042 kelvin
dV_123 = 0.6683 kelvin
dV_123 = 0.3431 kelvin
dV_123 = 0.1858 kelvin
dV_123 = 0.0611 kelvin
dV_123 = -66.3677 kelvin
dV_123 = -30.7818 kelvin
dV_123 = -16.3294 kelvin
dV_123 = -7.2213 kelvin
dV_123 = -3.1466 kelvin
dV_123 = -1.4418 kelvin
dV_123 = -0.7051 kelvin
dV_123 = -0.3669 kelvin
dV_123 = -0.2017 kelvin
dV_123 = -0.0682 kelvin
dV_123 = 300.7504 kelvin
dV_123 = 93.1699 kelvin
dV_123 = 25.9544 kelvin
dV_123 = 8.4061 kelvin
dV_123 = 3.3239 kelvin
dV_123 = 1.5056 kelvin
dV_123 = 0.7399 kelvin
dV_123 = 0.3849 kelvin
dV_123 = 0.1194 kelvin
dV_123 = -1032.2508 kelvin
dV_123 = -36.2568 kelvin
dV_123 = 3.4964 kelvin
dV_123 = -0.2979 kelvin
dV_123 = -0.6319 kelvin
dV_123 = -0.2899 kelvin
dV_123 = -0.1017 kelvin
dV_123 = -0.0314 kelvin
dV_123 = -0.0086 kelvin
dV_123 = -0.0016 kelvin
dV_123 = 0.0004 kelvin
dV_123 = 188.6395 kelvin
dV_123 = 25.579 kelvin
dV_123 = 4.2449 kelvin
dV_123 = 1.1801 kelvin
dV_123 = 0.5837 kelvin
dV_123 = 0.3499 kelvin
dV_123 = 0.2135 kelvin
dV_123 = 0.1307 kelvin
dV_123 = 0.0506 kelvin
dV_123 = 52.4985 kelvin
dV_123 = -28.8295 kelvin
dV_123 = -17.0649 kelvin
dV_123 = -7.5923 kelvin
dV_123 = -3.3428 kelvin
dV_123 = -1.5448 kelvin
dV_123 = -0.7588 kelvin
dV_123 = -0.3956 kelvin
dV_123 = -0.2173 kelvin
dV_123 = -0.0737 kelvin
dV_123 = 58.6521 kelvin
dV_123 = 41.9302 kelvin
dV_123 = 15.2035 kelvin
dV_123 = 5.7524 kelvin
dV_123 = 2.5284 kelvin
dV_123 = 1.2398 kelvin
dV_123 = 0.6492 kelvin
dV_123 = 0.3565 kelvin
dV_123 = 0.1196 kelvin
dV_123 = 199.6146 kelvin
dV_123 = 37.474 kelvin
dV_123 = 4.7468 kelvin
dV_123 = 0.2161 kelvin
dV_123 = -0.0966 kelvin
dV_123 = -0.0341 kelvin
dV_123 = -0.0011 kelvin
dV_123 = 0.0072 kelvin
dV_123 = 0.0065 kelvin
dV_123 = 0.0035 kelvin
dV_123 = -464.8731 kelvin
dV_123 = 85.4989 kelvin
dV_123 = 51.9404 kelvin
dV_123 = 18.9846 kelvin
dV_123 = 7.0047 kelvin
dV_123 = 2.854 kelvin
dV_123 = 1.2763 kelvin
dV_123 = 0.6147 kelvin
dV_123 = 0.3149 kelvin
dV_123 = 0.0953 kelvin
dV_123 = -1793.3043 kelvin
dV_123 = -29.8015 kelvin
dV_123 = 25.622 kelvin
dV_123 = 9.6124 kelvin
dV_123 = 3.2039 kelvin
dV_123 = 1.1511 kelvin
dV_123 = 0.4525 kelvin
dV_123 = 0.1921 kelvin
dV_123 = 0.0867 kelvin
