240      -1722.15930253
250      -1377.50100913
260      -1123.28632577
270       -931.32354852
280       -783.33113122
290       -667.12087844
300       -574.36245889
310       -499.23333976
320       -437.58054539
330       -386.38695107
340       -343.42360059
350       -307.01841629
360       -275.89935411
370       -249.08614662
380       -225.81435463
390       -205.48127626
400       -187.60688077
420       -157.76328670
440       -133.97979771
460       -114.69660237
480        -98.82762765
500        -85.59785883
600        -43.52942862
700        -21.88035005
800         -9.19649149
900         -1.11129497
1000          4.35448912
1100          8.21163432
1200         11.02333865
