240      -8159.30458700
250      -6040.88772576
260      -4594.97100804
270      -3578.54262105
280      -2845.08964626
290      -2303.34649995
300      -1894.77085969
310      -1580.80500669
320      -1335.43883151
330      -1140.74105885
340       -984.10261549
350       -856.49487754
360       -751.34468931
370       -663.79290424
380       -590.19650008
390       -527.78843722
400       -474.44153878
420       -388.67118613
440       -323.41890043
460       -272.64147648
480       -232.34996468
500       -199.83298554
600       -103.35291687
700        -58.14350814
800        -33.19576070
900        -17.92747158
1000         -7.89866940
1100         -0.96699613
1200          4.01062920
