302.8898790914164, -1020.1294888334437
307.9115752795876, -950.7255722469339
312.78989473779853, -882.8198220998778
317.6125694761457, -807.2678066133682
323.83271155743944, -753.8860448994826
330.8573458010784, -684.4659240486436
339.3139033084087, -608.9769790443936
349.199512760354, -541.2972520887886
359.9437569650078, -472.48572392159934
371.5444873616241, -412.92710481537574
384.71798821095285, -358.0276096556258
399.3211996641469, -307.7538128346099
413.92279790496843, -265.27720914749017
428.52249786434663, -231.97563243682174
443.121668811541, -201.23094794761354
457.71945931873563, -177.15839012369642
472.31691359829745, -154.71093252530574
486.9132307621927, -137.7595339819588
501.50916094412764, -122.67854824686592
516.1050828372923, -107.63762490124034
530.7005607632013, -94.74254329145649
545.2956449725242, -83.75042518136891
559.8905918990899, -73.4218403968333
574.4853445576035, -64.03221786543726
589.0796491044762, -56.808468264616636
598.0939613001303, -51.462643170075154

