T(K)                  B (cm^3/mol)
313.7664612419827 -1003.1739171245272
320.22586803622715 -899.7290215387891
326.8701297423271 -812.6731419438935
332.00739283552565 -756.6043456995641
338.854056661557 -673.2841280603262
347.7220286768313 -594.7043650018218
357.6383432809778 -525.878025732674
368.0631101752652 -470.9664842733932
382.25204988966 -395.6850084769186
398.2684942159425 -335.38527154811686
411.8609857255494 -288.20705582949944
425.9021593770244 -252.56808813124007
440.6859694723069 -218.45860530942844
456.89413705316156 -185.93577873068762
470.6386853356486 -165.84358396026417
484.3847704108511 -147.9610401247381
500.72635516735284 -128.34670457861523
514.7783114001961 -112.56481909317796
527.8455589590405 -101.50849936168487
542.209665940856 -90.13048284546608
558.4798429524527 -78.34169724970654
572.0308131788647 -69.29362222522029
584.881867794075 -62.396858607885804
596.8055678060657 -55.29360916288472
